Crossing,Finishing,HeadingAccuracy,ShortPassing,FKAccuracy,LongPassing,BallControl,SprintSpeed,Agility,Reactions,ShotPower,Stamina,Vision,Composure,Preferred Foot,Overall
84,95,70,90,94,87,96,86,91,95,85,72,94,96,0,94
84,94,89,81,76,77,94,91,87,96,95,88,82,95,1,94
79,87,62,84,87,78,95,90,96,94,80,81,87,94,1,92
17,13,21,50,19,51,42,58,60,90,31,43,68,68,1,91
93,82,55,92,83,91,91,76,79,91,91,90,94,88,1,91
81,84,61,89,79,83,94,88,95,90,82,83,89,91,1,91
86,72,55,93,78,88,93,72,93,90,79,89,92,84,1,91
77,93,77,82,84,64,90,75,82,92,86,90,84,85,1,91
66,60,91,78,72,77,84,75,78,85,79,84,63,82,1,91
13,11,15,29,14,26,16,60,67,86,22,41,70,70,1,90
62,91,85,83,86,65,89,78,78,90,88,78,77,86,1,90
88,76,54,92,84,93,90,62,70,89,87,75,86,85,1,90
55,42,92,79,51,70,76,68,58,85,67,66,52,82,1,90
84,76,54,93,77,87,94,64,92,90,72,78,92,93,0,90
68,65,54,86,49,81,80,78,82,93,71,96,79,85,1,89
82,84,68,87,88,75,92,83,91,86,82,80,87,84,0,89
75,94,85,80,68,82,84,72,71,91,88,89,80,89,1,89
82,90,84,83,78,76,90,85,90,90,80,83,83,87,0,89
15,14,11,36,12,42,18,50,37,85,22,35,69,69,1,89
14,14,13,33,20,35,23,52,61,84,36,38,44,66,0,89
62,67,68,89,68,82,88,52,66,87,61,86,87,90,1,89
70,89,89,78,76,52,82,76,77,91,87,92,77,82,1,89
15,13,25,55,11,59,48,60,51,84,25,43,70,70,1,89
70,93,77,81,73,64,89,80,86,90,88,76,83,90,1,89
58,33,83,59,31,59,57,75,54,82,78,65,50,84,0,89
77,88,77,82,63,73,91,96,92,87,79,83,82,86,1,88
78,90,59,82,60,72,88,91,91,91,77,84,82,91,0,88
52,59,76,85,74,82,78,65,62,84,86,87,77,84,1,88
90,83,62,89,86,83,90,67,83,85,86,70,89,87,0,88
86,77,56,85,77,78,93,86,94,83,75,75,87,83,1,88
75,79,55,89,76,83,95,69,87,77,69,70,89,86,1,88
88,80,52,91,87,88,91,73,79,88,84,92,91,88,1,88
79,79,48,88,86,83,92,75,92,83,83,79,90,85,1,88
77,88,79,77,74,64,82,95,76,87,82,76,77,86,1,88
64,55,87,81,53,85,81,64,63,87,71,66,79,91,1,88
90,70,75,84,67,76,92,82,86,88,83,91,82,86,0,88
87,86,84,85,87,80,85,95,82,85,92,75,79,86,0,88
13,10,10,50,10,50,34,62,55,85,23,41,30,65,0,88
68,92,80,75,62,59,85,73,75,86,86,70,74,86,1,88
60,38,81,80,64,80,80,72,68,82,71,74,72,81,1,88
12,10,10,36,14,34,16,55,47,83,22,41,41,69,1,88
13,15,13,37,13,35,28,43,55,79,39,39,50,70,1,88
69,51,79,81,62,73,77,73,68,82,83,78,58,82,0,87
46,91,91,73,45,54,81,78,76,88,84,72,64,85,1,87
30,19,81,66,28,56,60,75,50,80,55,71,43,78,1,87
80,73,73,86,82,90,90,79,74,81,90,88,87,87,1,87
11,15,11,30,15,37,19,53,60,84,21,39,68,67,1,87
78,87,86,77,66,73,72,90,60,86,88,84,76,83,0,87
55,90,81,74,51,49,83,85,77,87,86,80,65,81,1,87
87,73,70,84,63,74,84,93,90,83,64,91,70,79,0,87
77,86,35,82,79,74,89,85,94,88,80,75,83,81,1,87
68,56,80,79,73,74,76,65,61,84,80,75,68,83,0,87
78,79,74,88,72,83,87,68,76,88,82,84,86,84,1,87
84,83,58,87,84,90,87,59,72,77,84,84,86,81,1,87
57,64,83,81,43,80,78,60,58,84,62,65,62,86,1,87
83,81,72,79,68,64,85,96,88,81,86,79,82,78,0,86
85,75,51,85,67,79,91,74,90,82,70,78,86,85,0,86
20,14,14,56,20,58,37,63,60,86,42,41,67,70,0,86
73,84,62,79,64,71,86,93,91,86,82,84,82,80,1,86
53,52,82,76,70,78,73,77,61,85,81,71,59,83,1,86
77,77,38,84,63,69,87,92,93,87,73,78,77,77,1,86
72,87,77,86,65,75,88,77,80,86,81,90,85,87,1,86
36,40,83,75,54,76,77,85,63,83,52,73,56,82,1,86
72,60,55,90,64,89,88,62,87,85,56,77,87,93,1,86
84,55,76,81,59,71,81,86,79,84,80,92,70,82,0,86
84,67,50,84,78,68,91,93,93,84,86,78,84,84,0,86
79,87,82,83,59,72,82,75,75,91,78,87,85,83,1,86
72,69,54,90,77,87,90,69,90,84,75,75,86,85,1,86
79,87,49,86,84,75,86,85,86,87,88,73,86,84,1,86
81,46,76,81,58,80,77,76,72,88,68,87,74,78,1,86
44,48,86,77,61,85,75,65,60,84,74,71,74,86,1,86
64,45,82,79,69,85,74,66,60,86,78,74,67,81,1,86
80,60,60,89,92,85,89,66,77,84,78,78,88,86,1,86
45,47,83,65,27,65,64,75,59,82,66,69,47,82,1,86
83,73,54,89,77,82,90,69,79,84,70,69,91,82,0,86
68,69,63,85,72,81,82,67,72,86,83,79,75,79,1,86
77,70,54,90,70,85,92,67,79,86,65,55,93,89,1,86
40,42,80,70,30,68,67,73,48,81,50,77,57,80,1,85
64,80,86,85,75,85,87,70,66,80,83,85,85,82,1,85
82,82,50,83,76,82,85,82,79,82,86,76,84,83,0,85
83,82,49,83,79,75,89,79,90,80,84,80,81,89,0,85
17,13,19,45,18,44,30,45,40,84,21,32,66,65,1,85
90,66,74,85,61,80,85,68,84,85,75,85,79,82,1,85
69,78,83,85,60,83,85,73,76,82,78,86,82,83,0,85
81,80,48,82,78,76,90,83,93,77,79,76,81,86,0,85
81,63,75,82,84,80,83,86,79,84,83,87,77,79,0,85
86,72,61,90,76,89,86,68,74,85,84,90,87,78,1,85
64,88,73,80,71,59,83,84,85,85,83,79,76,85,1,85
27,10,80,60,10,61,65,85,68,85,40,76,22,79,1,85
52,54,85,75,39,72,70,61,64,79,69,67,53,80,1,85
84,79,61,90,90,87,84,43,66,78,78,78,86,78,1,85
64,81,85,84,72,80,84,73,69,84,83,92,78,80,1,85
12,12,16,32,14,36,22,47,55,82,15,45,48,65,1,85
77,80,73,77,78,75,86,79,90,83,84,83,82,84,1,85
79,76,46,79,78,72,86,75,92,84,69,85,79,90,1,85
69,34,85,75,31,83,70,72,56,82,78,69,75,84,1,85
